X,Y,Risk
45.98,-49.50,0.179839
46.48,-49.50,0.180887
46.98,-49.50,0.181918
47.49,-49.50,0.182934
47.99,-49.50,0.183934
48.49,-49.50,0.184919
48.99,-49.50,0.185890
49.50,-49.50,0.186845
50.00,-49.50,0.187787
-50.00,-48.99,0.000000
-49.50,-48.99,0.000000
-48.99,-48.99,0.000000
-48.49,-48.99,0.000000
-47.99,-48.99,0.000000
-47.49,-48.99,0.000000
-46.98,-48.99,0.000000
-46.48,-48.99,0.000000
-45.98,-48.99,0.000000
-45.48,-48.99,0.000000
-44.97,-48.99,0.000000
-44.47,-48.99,0.000000
-43.97,-48.99,0.000000
-43.47,-48.99,0.000000
-42.96,-48.99,0.000000
-42.46,-48.99,0.000000
-41.96,-48.99,0.000000
-41.46,-48.99,0.000000
-40.95,-48.99,0.000000
-40.45,-48.99,0.000000
-39.95,-48.99,0.000000
-39.45,-48.99,0.000000
-38.94,-48.99,0.000000
-38.44,-48.99,0.000000
-37.94,-48.99,0.000000
-37.44,-48.99,0.000000
-36.93,-48.99,0.000000
-36.43,-48.99,0.000000
-35.93,-48.99,0.000000
-35.43,-48.99,0.000000
-34.92,-48.99,0.000000
-34.42,-48.99,0.000000
-33.92,-48.99,0.000000
-33.42,-48.99,0.000000
-32.91,-48.99,0.000000
-32.41,-48.99,0.000000
-31.91,-48.99,0.000000
-31.41,-48.99,0.000000
-30.90,-48.99,0.000000
-30.40,-48.99,0.000000
-29.90,-48.99,0.000000
-29.40,-48.99,0.000000
-28.89,-48.99,0.000000
-28.39,-48.99,0.000000
-27.89,-48.99,0.000000
-27.39,-48.99,0.000000
-26.88,-48.99,0.000000
-26.38,-48.99,0.000000
-25.88,-48.99,0.000000
-25.38,-48.99,0.000000
-24.87,-48.99,0.000000
-24.37,-48.99,0.000000
-23.87,-48.99,0.000000
-23.37,-48.99,0.000000
-22.86,-48.99,0.000000
-22.36,-48.99,0.000000
-21.86,-48.99,0.000000
-21.36,-48.99,0.000000
-20.85,-48.99,0.000000
-20.35,-48.99,0.000000
-19.85,-48.99,0.000000
-19.35,-48.99,0.000000
-18.84,-48.99,0.000000
-18.34,-48.99,0.000000
-17.84,-48.99,0.000000
-17.34,-48.99,0.000000
-16.83,-48.99,0.000000
-16.33,-48.99,0.000000
-15.83,-48.99,0.000000
-15.33,-48.99,0.000000
-14.82,-48.99,0.000000
-14.32,-48.99,0.000000
-13.82,-48.99,0.000000
-13.32,-48.99,0.000000
-12.81,-48.99,0.000000
-12.31,-48.99,0.000000
-11.81,-48.99,0.000000
-11.31,-48.99,0.000000
-10.80,-48.99,0.000000
-10.30,-48.99,0.000000
-9.80,-48.99,0.000000
-9.30,-48.99,0.000000
-8.79,-48.99,0.000000
-8.29,-48.99,0.000000
-7.79,-48.99,0.000000
-7.29,-48.99,0.000000
-6.78,-48.99,0.000000
-6.28,-48.99,0.000000
-5.78,-48.99,0.000000
-5.28,-48.99,0.000000
-4.77,-48.99,0.000000
-4.27,-48.99,0.000000
-3.77,-48.99,0.000000
-3.27,-48.99,0.000000
-2.76,-48.99,0.000000
-2.26,-48.99,0.000000
-1.76,-48.99,0.000000
-1.26,-48.99,0.000000
-0.75,-48.99,0.000000
-0.25,-48.99,0.000000
0.25,-48.99,0.001355
0.75,-48.99,0.004065
1.26,-48.99,0.006773
1.76,-48.99,0.009479
2.26,-48.99,0.012183
2.76,-48.99,0.014882
3.27,-48.99,0.017577
3.77,-48.99,0.020266
4.27,-48.99,0.022949
4.77,-48.99,0.025625
5.28,-48.99,0.028293
5.78,-48.99,0.030952
6.28,-48.99,0.033602
6.78,-48.99,0.036241
7.29,-48.99,0.038870
7.79,-48.99,0.041486
8.29,-48.99,0.044090
8.79,-48.99,0.046682
9.30,-48.99,0.049259
9.80,-48.99,0.051822
10.30,-48.99,0.054369
10.80,-48.99,0.056901
11.31,-48.99,0.059417
11.81,-48.99,0.061915
12.31,-48.99,0.064397
12.81,-48.99,0.066860
13.32,-48.99,0.069305
13.82,-48.99,0.071730
14.32,-48.99,0.074137
14.82,-48.99,0.076523
15.33,-48.99,0.078890
15.83,-48.99,0.081235
16.33,-48.99,0.083560
16.83,-48.99,0.085863
17.34,-48.99,0.088145
17.84,-48.99,0.090404
18.34,-48.99,0.092641
18.84,-48.99,0.094856
19.35,-48.99,0.097048
19.85,-48.99,0.099218
20.35,-48.99,0.101364
20.85,-48.99,0.103487
21.36,-48.99,0.105586
21.86,-48.99,0.107662
22.36,-48.99,0.109714
22.86,-48.99,0.111743
23.37,-48.99,0.113748
23.87,-48.99,0.115729
24.37,-48.99,0.117686
24.87,-48.99,0.119619
25.38,-48.99,0.121528
25.88,-48.99,0.123414
26.38,-48.99,0.125276
26.88,-48.99,0.127114
27.39,-48.99,0.128928
27.89,-48.99,0.130719
28.39,-48.99,0.132486
28.89,-48.99,0.134230
29.40,-48.99,0.135950
29.90,-48.99,0.137647
30.40,-48.99,0.139321
30.90,-48.99,0.140972
31.41,-48.99,0.142601
31.91,-48.99,0.144207
32.41,-48.99,0.145790
32.91,-48.99,0.147351
33.42,-48.99,0.148890
33.92,-48.99,0.150408
34.42,-48.99,0.151903
34.92,-48.99,0.153377
35.43,-48.99,0.154830
35.93,-48.99,0.156261
36.43,-48.99,0.157672
36.93,-48.99,0.159062
37.44,-48.99,0.160432
37.94,-48.99,0.161782
38.44,-48.99,0.163111
38.94,-48.99,0.164421
39.45,-48.99,0.165712
39.95,-48.99,0.166983
40.45,-48.99,0.168235
40.95,-48.99,0.169468
41.46,-48.99,0.170683
41.96,-48.99,0.171880
42.46,-48.99,0.173058
42.96,-48.99,0.174219
43.47,-48.99,0.175362
43.97,-48.99,0.176488
44.47,-48.99,0.177597
44.97,-48.99,0.178688
45.48,-48.99,0.179764
45.98,-48.99,0.180823
46.48,-48.99,0.181865
46.98,-48.99,0.182892
47.49,-48.99,0.183903
47.99,-48.99,0.184899
48.49,-48.99,0.185880
48.99,-48.99,0.186845
49.50,-48.99,0.187796
50.00,-48.99,0.188732
-50.00,-48.49,0.000000
-49.50,-48.49,0.000000
-48.99,-48.49,0.000000
-48.49,-48.49,0.000000
-47.99,-48.49,0.000000
-47.49,-48.49,0.000000
-46.98,-48.49,0.000000
-46.48,-48.49,0.000000
-45.98,-48.49,0.000000
-45.48,-48.49,0.000000
-44.97,-48.49,0.000000
-44.47,-48.49,0.000000
-43.97,-48.49,0.000000
-43.47,-48.49,0.000000
-42.96,-48.49,0.000000
-42.46,-48.49,0.000000
-41.96,-48.49,0.000000
-41.46,-48.49,0.000000
-40.95,-48.49,0.000000
-40.45,-48.49,0.000000
-39.95,-48.49,0.000000
-39.45,-48.49,0.000000
-38.94,-48.49,0.000000
-38.44,-48.49,0.000000
-37.94,-48.49,0.000000
-37.44,-48.49,0.000000
-36.93,-48.49,0.000000
-36.43,-48.49,0.000000
-35.93,-48.49,0.000000
-35.43,-48.49,0.000000
-34.92,-48.49,0.000000
-34.42,-48.49,0.000000
-33.92,-48.49,0.000000
-33.42,-48.49,0.000000
-32.91,-48.49,0.000000
-32.41,-48.49,0.000000
-31.91,-48.49,0.000000
-31.41,-48.49,0.000000
-30.90,-48.49,0.000000
-30.40,-48.49,0.000000
-29.90,-48.49,0.000000
-29.40,-48.49,0.000000
-28.89,-48.49,0.000000
-28.39,-48.49,0.000000
-27.89,-48.49,0.000000
-27.39,-48.49,0.000000
-26.88,-48.49,0.000000
-26.38,-48.49,0.000000
-25.88,-48.49,0.000000
-25.38,-48.49,0.000000
-24.87,-48.49,0.000000
-24.37,-48.49,0.000000
-23.87,-48.49,0.000000
-23.37,-48.49,0.000000
-22.86,-48.49,0.000000
-22.36,-48.49,0.000000
-21.86,-48.49,0.000000
-21.36,-48.49,0.000000
-20.85,-48.49,0.000000
-20.35,-48.49,0.000000
-19.85,-48.49,0.000000
-19.35,-48.49,0.000000
-18.84,-48.49,0.000000
-18.34,-48.49,0.000000
-17.84,-48.49,0.000000
-17.34,-48.49,0.000000
-16.83,-48.49,0.000000
-16.33,-48.49,0.000000
-15.83,-48.49,0.000000
-15.33,-48.49,0.000000
-14.82,-48.49,0.000000
-14.32,-48.49,0.000000
-13.82,-48.49,0.000000
-13.32,-48.49,0.000000
-12.81,-48.49,0.000000
-12.31,-48.49,0.000000
-11.81,-48.49,0.000000
-11.31,-48.49,0.000000
-10.80,-48.49,0.000000
-10.30,-48.49,0.000000
-9.80,-48.49,0.000000
-9.30,-48.49,0.000000
-8.79,-48.49,0.000000
-8.29,-48.49,0.000000
-7.79,-48.49,0.000000
-7.29,-48.49,0.000000
-6.78,-48.49,0.000000
-6.28,-48.49,0.000000
-5.78,-48.49,0.000000
-5.28,-48.49,0.000000
-4.77,-48.49,0.000000
-4.27,-48.49,0.000000
-3.77,-48.49,0.000000
-3.27,-48.49,0.000000
-2.76,-48.49,0.000000
-2.26,-48.49,0.000000
-1.76,-48.49,0.000000
-1.26,-48.49,0.000000
-0.75,-48.49,0.000000
-0.25,-48.49,0.000000
0.25,-48.49,0.001369
0.75,-48.49,0.004107
1.26,-48.49,0.006843
1.76,-48.49,0.009578
2.26,-48.49,0.012309
2.76,-48.49,0.015036
3.27,-48.49,0.017758
3.77,-48.49,0.020475
4.27,-48.49,0.023185
4.77,-48.49,0.025888
5.28,-48.49,0.028583
5.78,-48.49,0.031268
6.28,-48.49,0.033944
6.78,-48.49,0.036610
7.29,-48.49,0.039264
7.79,-48.49,0.041905
8.29,-48.49,0.044534
8.79,-48.49,0.047150
9.30,-48.49,0.049751
9.80,-48.49,0.052338
10.30,-48.49,0.054908
10.80,-48.49,0.057463
11.31,-48.49,0.060001
11.81,-48.49,0.062521
12.31,-48.49,0.065024
12.81,-48.49,0.067508
13.32,-48.49,0.069973
13.82,-48.49,0.072418
14.32,-48.49,0.074844
14.82,-48.49,0.077249
15.33,-48.49,0.079633
15.83,-48.49,0.081996
16.33,-48.49,0.084338
16.83,-48.49,0.086657
17.34,-48.49,0.088955
17.84,-48.49,0.091230
18.34,-48.49,0.093482
18.84,-48.49,0.095711
19.35,-48.49,0.097917
19.85,-48.49,0.100099
20.35,-48.49,0.102258
20.85,-48.49,0.104392
21.36,-48.49,0.106503
21.86,-48.49,0.108590
22.36,-48.49,0.110653
22.86,-48.49,0.112691
23.37,-48.49,0.114705
23.87,-48.49,0.116695
24.37,-48.49,0.118660
24.87,-48.49,0.120601
25.38,-48.49,0.122518
25.88,-48.49,0.124411
26.38,-48.49,0.126279
26.88,-48.49,0.128122
27.39,-48.49,0.129942
27.89,-48.49,0.131738
28.39,-48.49,0.133510
28.89,-48.49,0.135257
29.40,-48.49,0.136982
29.90,-48.49,0.138682
30.40,-48.49,0.140359
30.90,-48.49,0.142013
31.41,-48.49,0.143644
31.91,-48.49,0.145251
32.41,-48.49,0.146836
32.91,-48.49,0.148398
33.42,-48.49,0.149938
33.92,-48.49,0.151456
34.42,-48.49,0.152952
34.92,-48.49,0.154425
35.43,-48.49,0.155878
35.93,-48.49,0.157309
36.43,-48.49,0.158719
36.93,-48.49,0.160108
37.44,-48.49,0.161476
37.94,-48.49,0.162824
38.44,-48.49,0.164151
38.94,-48.49,0.165459
39.45,-48.49,0.166747
39.95,-48.49,0.168016
40.45,-48.49,0.169265
40.95,-48.49,0.170496
41.46,-48.49,0.171707
41.96,-48.49,0.172901
42.46,-48.49,0.174076
42.96,-48.49,0.175233
43.47,-48.49,0.176372
43.97,-48.49,0.177494
44.47,-48.49,0.178599
44.97,-48.49,0.179686
45.48,-48.49,0.180757
45.98,-48.49,0.181812
46.48,-48.49,0.182850
46.98,-48.49,0.183872
47.49,-48.49,0.184879
47.99,-48.49,0.185870
48.49,-48.49,0.186845
48.99,-48.49,0.187806
49.50,-48.49,0.188752
50.00,-48.49,0.189683
-50.00,-47.99,0.000000
-49.50,-47.99,0.000000
-48.99,-47.99,0.000000
-48.49,-47.99,0.000000
-47.99,-47.99,0.000000
-47.49,-47.99,0.000000
-46.98,-47.99,0.000000
-46.48,-47.99,0.000000
-45.98,-47.99,0.000000
-45.48,-47.99,0.000000
-44.97,-47.99,0.000000
-44.47,-47.99,0.000000
-43.97,-47.99,0.000000
-43.47,-47.99,0.000000
-42.96,-47.99,0.000000
-42.46,-47.99,0.000000
-41.96,-47.99,0.000000
-41.46,-47.99,0.000000
-40.95,-47.99,0.000000
-40.45,-47.99,0.000000
-39.95,-47.99,0.000000
-39.45,-47.99,0.000000
-38.94,-47.99,0.000000
-38.44,-47.99,0.000000
-37.94,-47.99,0.000000
-37.44,-47.99,0.000000
-36.93,-47.99,0.000000
-36.43,-47.99,0.000000
-35.93,-47.99,0.000000
-35.43,-47.99,0.000000
-34.92,-47.99,0.000000
-34.42,-47.99,0.000000
-33.92,-47.99,0.000000
-33.42,-47.99,0.000000
-32.91,-47.99,0.000000
-32.41,-47.99,0.000000
-31.91,-47.99,0.000000
-31.41,-47.99,0.000000
-30.90,-47.99,0.000000
-30.40,-47.99,0.000000
-29.90,-47.99,0.000000
-29.40,-47.99,0.000000
-28.89,-47.99,0.000000
-28.39,-47.99,0.000000
-27.89,-47.99,0.000000
-27.39,-47.99,0.000000
-26.88,-47.99,0.000000
-26.38,-47.99,0.000000
-25.88,-47.99,0.000000
-25.38,-47.99,0.000000
-24.87,-47.99,0.000000
-24.37,-47.99,0.000000
-23.87,-47.99,0.000000
-23.37,-47.99,0.000000
-22.86,-47.99,0.000000
-22.36,-47.99,0.000000
-21.86,-47.99,0.000000
-21.36,-47.99,0.000000
-20.85,-47.99,0.000000
-20.35,-47.99,0.000000
-19.85,-47.99,0.000000
-19.35,-47.99,0.000000
-18.84,-47.99,0.000000
-18.34,-47.99,0.000000
-17.84,-47.99,0.000000
-17.34,-47.99,0.000000
-16.83,-47.99,0.000000
-16.33,-47.99,0.000000
-15.83,-47.99,0.000000
-15.33,-47.99,0.000000
-14.82,-47.99,0.000000
-14.32,-47.99,0.000000
-13.82,-47.99,0.000000
-13.32,-47.99,0.000000
-12.81,-47.99,0.000000
-12.31,-47.99,0.000000
-11.81,-47.99,0.000000
-11.31,-47.99,0.000000
-10.80,-47.99,0.000000
-10.30,-47.99,0.000000
-9.80,-47.99,0.000000
-9.30,-47.99,0.000000
-8.79,-47.99,0.000000
-8.29,-47.99,0.000000
-7.79,-47.99,0.000000
-7.29,-47.99,0.000000
-6.78,-47.99,0.000000
-6.28,-47.99,0.000000
-5.78,-47.99,0.000000
-5.28,-47.99,0.000000
-4.77,-47.99,0.000000
-4.27,-47.99,0.000000
-3.77,-47.99,0.000000
-3.27,-47.99,0.000000
-2.76,-47.99,0.000000
